Num img,Coin h-g x,Coin h-g y,Coin b-d x,Coin b-d y,Score,Classe
0004.jpg,350,800,450,900,0.9867107380362179,fvert
0004.jpg,425,800,525,900,0.962492594130299,fvert
0004.jpg,350,225,450,325,0.9581411949041646,danger
0004.jpg,400,875,450,925,0.9238900653685967,fvert
0039.jpg,281,452,393,565,0.9788853725153621,danger
0045.jpg,275,400,325,450,0.9879495049445634,interdiction
0045.jpg,300,337,375,412,0.936374540793604,interdiction
0054.jpg,400,300,500,400,0.9475856203220485,interdiction
0054.jpg,375,425,425,475,0.9460005709046582,obligation
0054.jpg,400,400,450,450,0.929775309135595,obligation
0083.jpg,0,750,50,800,0.9705113344007864,danger
0083.jpg,200,875,300,975,0.9421302847227604,danger
0088.jpg,350,150,750,550,0.9925296051876128,stop
0088.jpg,400,200,500,300,0.9864794669253603,interdiction
0088.jpg,525,263,600,450,0.9826938380562352,interdiction
0088.jpg,450,375,500,425,0.9798288998831935,interdiction
0088.jpg,425,200,475,250,0.9563502129008462,interdiction
0088.jpg,600,200,700,450,0.9523536473823007,interdiction
0088.jpg,550,325,600,375,0.9419715846572532,interdiction
0088.jpg,675,300,750,375,0.9332304301528824,interdiction
0088.jpg,650,250,700,300,0.9316766354621963,interdiction
0088.jpg,550,425,650,525,0.9286755037415602,interdiction
0088.jpg,500,400,550,525,0.9185947299096547,interdiction
0088.jpg,500,300,550,425,0.9168876175230247,interdiction
0088.jpg,400,325,450,375,0.9164542772195371,interdiction
0088.jpg,625,425,675,475,0.9146532209570278,interdiction
0091.jpg,200,250,400,450,0.9698356735809478,danger
0091.jpg,450,400,550,500,0.9551278268652559,danger
0091.jpg,200,350,300,450,0.9404677641927062,danger
0091.jpg,200,400,250,525,0.9041061469320432,interdiction
0101.jpg,506,339,674,508,0.9764848466413119,interdiction
0101.jpg,337,282,449,564,0.9758437329209704,interdiction
0101.jpg,600,550,700,650,0.9671469317639769,interdiction
0101.jpg,600,413,675,488,0.9488145098254669,interdiction
0101.jpg,600,325,700,425,0.9284611259428495,interdiction
0101.jpg,394,169,619,394,0.9154930983894956,interdiction
0131.jpg,337,731,449,843,0.9377313477941766,danger
0131.jpg,350,850,400,900,0.9300034635010755,danger
0132.jpg,0,37,75,112,0.9733249993743002,danger
0132.jpg,50,125,150,225,0.9464649458217522,danger
0132.jpg,75,100,125,150,0.9450163963914004,frouge
0132.jpg,50,450,150,550,0.9064743606803023,fvert
0137.jpg,487,488,562,563,0.9543037711218543,interdiction
0137.jpg,487,375,562,450,0.9461236292840035,frouge
0137.jpg,650,275,750,525,0.9444195609524397,interdiction
0137.jpg,487,300,562,375,0.9263588856384641,frouge
0139.jpg,250,0,650,400,0.9929037249083946,interdiction
0139.jpg,600,275,650,325,0.9793607059153333,danger
0139.jpg,575,300,625,350,0.9477658340867151,danger
0139.jpg,262,112,337,299,0.9092658827264043,interdiction
0145.jpg,250,250,350,500,0.9571767156480705,frouge
0145.jpg,250,325,300,450,0.9359338269273937,fvert
