Num img,Coin h-g x,Coin h-g y,Coin b-d x,Coin b-d y,Score,Classe
0004.jpg,350,800,450,900,0.986710738036218,fvert
0004.jpg,350,225,450,325,0.9581411949041646,danger
0039.jpg,281,452,393,565,0.978885372515362,danger
0045.jpg,275,400,325,450,0.9879495049445634,interdiction
0054.jpg,400,300,500,400,0.9475856203220484,interdiction
0054.jpg,375,425,425,475,0.9460005709046582,obligation
0083.jpg,0,750,50,800,0.9705113344007864,danger
0083.jpg,200,875,300,975,0.9421302847227604,danger
0088.jpg,350,150,750,550,0.9925296051876128,stop
0091.jpg,200,250,400,450,0.9698356735809478,danger
0091.jpg,450,400,550,500,0.955127826865256,danger
0101.jpg,506,339,674,508,0.976484846641312,interdiction
0101.jpg,337,282,449,564,0.9758437329209704,interdiction
0101.jpg,600,550,700,650,0.9671469317639768,interdiction
0131.jpg,337,731,449,843,0.9377313477941766,danger
0131.jpg,350,850,400,900,0.9300034635010755,danger
0132.jpg,0,37,75,112,0.9733249993743002,danger
0132.jpg,50,125,150,225,0.9464649458217522,danger
0132.jpg,50,450,150,550,0.9064743606803024,fvert
0137.jpg,487,488,562,563,0.9543037711218544,interdiction
0137.jpg,487,375,562,450,0.9461236292840036,frouge
0137.jpg,650,275,750,525,0.9444195609524396,interdiction
0139.jpg,250,0,650,400,0.9929037249083946,interdiction
0145.jpg,250,250,350,500,0.9571767156480704,frouge
0145.jpg,300,800,350,925,0.9001471878364914,fvert
0149.jpg,250,325,350,425,0.9440526735458185,interdiction
0149.jpg,112,487,187,562,0.9387486777687722,fvert
0149.jpg,300,550,350,600,0.9048315625984288,fvert
0184.jpg,337,526,412,601,0.9877069810212336,interdiction
0184.jpg,250,475,300,525,0.9809130410458304,interdiction
0184.jpg,75,500,175,750,0.9769328001405606,interdiction
0184.jpg,25,200,75,250,0.9459757759544416,danger
0184.jpg,125,825,225,925,0.9427452455212229,interdiction
0184.jpg,337,413,412,488,0.9425747634188012,interdiction
0184.jpg,187,563,262,638,0.9316946444182412,interdiction
0184.jpg,50,350,150,450,0.9128799558014352,interdiction
0184.jpg,350,675,400,725,0.9055603382931676,interdiction
0187.jpg,400,375,500,625,0.9093970937331606,danger
0188.jpg,200,400,400,600,0.9296316853962552,obligation
0196.jpg,450,225,500,350,0.947373740271451,frouge
0196.jpg,550,450,750,650,0.9215034421549516,fvert
0196.jpg,506,225,618,337,0.917786221707404,danger
0196.jpg,713,225,788,300,0.9046194514014884,danger
0215.jpg,337,169,674,508,0.9872564546809196,ceder
0215.jpg,500,50,550,100,0.9541730761654548,danger
0216.jpg,125,125,525,525,0.9885671671771874,stop
